Code;GTIN;Product omschrijving;Lange Tool omschrijving;Prijs;Min. luchthoeveelheid bij 50 Pa (m3/h);Min. luchthoeveelheid bij 100 Pa (m3/h);Min. luchthoeveelheid bij 150 Pa (m3/h);Min. luchthoeveelheid bij 200 Pa (m3/h);Min. luchthoeveelheid bij 250 Pa (m3/h);"Min. luchthoeveelheid bij 50 Pa (m3/h)

Stil";"Min. luchthoeveelheid bij 100 Pa (m3/h)

Stil";"Min. luchthoeveelheid bij 150 Pa (m3/h)

Stil";"Min. luchthoeveelheid bij 200 Pa (m3/h)

Stil";"Min. luchthoeveelheid bij 250 Pa (m3/h)

Stil";Max. luchthoeveelheid bij 50 Pa (m3/h);Max. luchthoeveelheid bij 100 Pa (m3/h);Max. luchthoeveelheid bij 150 Pa (m3/h);Max. luchthoeveelheid bij 200 Pa (m3/h);Max. luchthoeveelheid bij 250 Pa (m3/h);"Max. luchthoeveelheid bij 50 Pa (m3/h)


Stil";"Max. luchthoeveelheid bij 100 Pa (m3/h)

Stil";"Max. luchthoeveelheid bij 150 Pa (m3/h)

Stil";"Max. luchthoeveelheid bij 200 Pa (m3/h)

Stil";"Max. luchthoeveelheid bij 250 Pa (m3/h)

Stil";Nom. spanning;Met druksensor;Interne tijdschakelklok;Enkel toeren motor;Stuursignaal;"1
660000311
SAG-0-5-inbouw

(MX ZMV & VDX)";"2
660000312
SAG-0-5-opbouw

(MX ZMV & VDX)";"3
660000321
SAG-0-M-inbouw

(MX ZMV & VDX)";"4
660000322
SAG-0-M-opbouw

(MX ZMV & VDX)";"5
660000341
DNG 31 dag/nachtregelaar

(VDX)";"6
660000360
LTG temperatuurregelaar

(MX ZMV & VDX)";"11
DOS";"12
DOS G";"21
GDH";"22
GDH-K";"31
GDB";"41
PV";"51
VAP a";"52
VAP b";"53
VAP c";"61
DVK";"71
DVS";Afbeelding;URL Website
476600010;08717573020060;MX 110 D + WS;MX 110 400V;1153;300;300;300;300;300;300;300;300;300;300;1837;1663;1473;1263;1023;1400;1200;1000;600;0;400 V;Nee;Nee;Nee;0-10 V;660000311;660000312;660000321;660000322;660000341;660000360;441006330;441007330;304000330;304010330;304002330;350033000;440303320;440303325;;353000330;353001330;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD/CSY/DAK/MX%2BVDX/MX_Zehnder.png;https://www.zehnder.nl/ventilatie-units/mechanische-ventilatie/dakventilatoren/zehnder-mx
476600011;08717573020077;MX 110 + WS;MX 110 230V;1080;300;300;300;300;300;300;300;300;300;300;1837;1663;1473;1263;1023;1400;1200;1000;600;0;230 V;Nee;Nee;Nee;0-10 V;660000311;660000312;660000321;660000322;660000341;660000360;441006330;441007330;304000330;304010330;304002330;350033000;440303320;440303325;;353000330;353001330;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD/CSY/DAK/MX%2BVDX/MX_Zehnder.png;https://www.zehnder.nl/ventilatie-units/mechanische-ventilatie/dakventilatoren/zehnder-mx
476600020;08717573020084;MX 210 D + WS;MX 210 400V;1389;1837;1663;1473;1263;1023;1400;1200;1000;600;300;3464;3224;2969;2696;2402;2350;1950;1500;1000;0;400 V;Nee;Nee;Nee;0-10 V;660000311;660000312;660000321;660000322;660000341;660000360;441006450;441007450;304000450;304010450;304002450;350045000;440304525;440304531;440304535;353000450;353001450;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD/CSY/DAK/MX%2BVDX/MX_Zehnder.png;https://www.zehnder.nl/ventilatie-units/mechanische-ventilatie/dakventilatoren/zehnder-mx
476600021;08717573020091;MX 210 + WS;MX 210 230V;1307;1837;1663;1473;1263;1023;1400;1200;1000;600;300;3464;3224;2969;2696;2402;2350;1950;1500;1000;0;230 V;Nee;Nee;Nee;0-10 V;660000311;660000312;660000321;660000322;660000341;660000360;441006450;441007450;304000450;304010450;304002450;350045000;440304525;440304531;440304535;353000450;353001450;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD/CSY/DAK/MX%2BVDX/MX_Zehnder.png;https://www.zehnder.nl/ventilatie-units/mechanische-ventilatie/dakventilatoren/zehnder-mx
476600030;08717573020107;MX 310 D + WS;MX 310 400V;1646;1837;1663;1473;1263;1023;1740;1763;1288;933;645;3670;3222;2739;2209;1617;3480;3525;2575;1865;1290;400 V;Nee;Nee;Nee;0-10 V;660000311;660000312;660000321;660000322;660000341;660000360;441006535;441007535;304000535;304010535;304002535;350053500;440305335;440305340;440305345;353000535;353001535;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD/CSY/DAK/MX%2BVDX/MX_Zehnder.png;https://www.zehnder.nl/ventilatie-units/mechanische-ventilatie/dakventilatoren/zehnder-mx
476600031;08717573020114;MX 310 + WS;MX 310 230V;1567;1837;1663;1473;1263;1023;1740;1763;1288;933;645;3670;3222;2739;2209;1617;3480;3525;2575;1865;1290;230 V;Nee;Nee;Nee;0-10 V;660000311;660000312;660000321;660000322;660000341;660000360;441006535;441007535;304000535;304010535;304002535;350053500;440305335;440305340;440305345;353000535;353001535;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD/CSY/DAK/MX%2BVDX/MX_Zehnder.png;https://www.zehnder.nl/ventilatie-units/mechanische-ventilatie/dakventilatoren/zehnder-mx
476600035;08717573020121;MX 320 D + WS;MX 320 400V;2257;3670;3222;2739;2209;1617;2000;1900;1350;1000;650;5356;5084;4796;4491;4165;3100;2630;1900;1100;700;400 V;Nee;Nee;Nee;0-10 V;660000311;660000312;660000321;660000322;660000341;660000360;441006535;441007535;304000535;304010535;304002535;350053500;440305335;440305340;440305345;353000535;353001535;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD/CSY/DAK/MX%2BVDX/MX_Zehnder.png;https://www.zehnder.nl/ventilatie-units/mechanische-ventilatie/dakventilatoren/zehnder-mx
476600036;08717573020138;MX 320 + WS;MX 320 230V;2165;3670;3222;2739;2209;1617;2000;1900;1350;1000;650;5356;5084;4796;4491;4165;3100;2630;1900;1100;700;230 V;Nee;Nee;Nee;0-10 V;660000311;660000312;660000321;660000322;660000341;660000360;441006535;441007535;304000535;304010535;304002535;350053500;440305335;440305340;440305345;353000535;353001535;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD/CSY/DAK/MX%2BVDX/MX_Zehnder.png;https://www.zehnder.nl/ventilatie-units/mechanische-ventilatie/dakventilatoren/zehnder-mx
476600210;08717573020145;MX 110 D ZMV + WS;MX 110 400V Drukgeregeld;1571;300;300;300;300;300;300;300;300;300;300;1837;1663;1473;1263;1023;1400;1200;1000;600;0;400 V;Ja;Nee;Nee;Overig;;;;;660000341;;441006330;441007330;304000330;304010330;304002330;350033000;440303320;440303325;;353000330;353001330;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD/CSY/DAK/MX%2BVDX/MX_Zehnder.png;https://www.zehnder.nl/ventilatie-units/mechanische-ventilatie/dakventilatoren/zehnder-mx-zmv
476600211;08717573020152;MX 110 ZMV + WS;MX 110 230V Drukgeregeld;1495;300;300;300;300;300;300;300;300;300;300;1837;1663;1473;1263;1023;1400;1200;1000;600;0;230 V;Ja;Nee;Nee;Overig;;;;;660000341;;441006330;441007330;304000330;304010330;304002330;350033000;440303320;440303325;;353000330;353001330;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD/CSY/DAK/MX%2BVDX/MX_Zehnder.png;https://www.zehnder.nl/ventilatie-units/mechanische-ventilatie/dakventilatoren/zehnder-mx-zmv
476600220;08717573020169;MX 210 D ZMV + WS;MX 210 400V Drukgeregeld;1801;1837;1663;1473;1263;1023;1400;1200;1000;600;300;3464;3224;2969;2696;2402;2350;1950;1500;1000;0;400 V;Ja;Nee;Nee;Overig;;;;;660000341;;441006450;441007450;304000450;304010450;304002450;350045000;440304525;440304531;440304535;353000450;353001450;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD/CSY/DAK/MX%2BVDX/MX_Zehnder.png;https://www.zehnder.nl/ventilatie-units/mechanische-ventilatie/dakventilatoren/zehnder-mx-zmv
476600221;08717573020176;MX 210 ZMV + WS;MX 210 230V Drukgeregeld;1716;1837;1663;1473;1263;1023;1400;1200;1000;600;300;3464;3224;2969;2696;2402;2350;1950;1500;1000;0;230 V;Ja;Nee;Nee;Overig;;;;;660000341;;441006450;441007450;304000450;304010450;304002450;350045000;440304525;440304531;440304535;353000450;353001450;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD/CSY/DAK/MX%2BVDX/MX_Zehnder.png;https://www.zehnder.nl/ventilatie-units/mechanische-ventilatie/dakventilatoren/zehnder-mx-zmv
476600230;08717573020183;MX 310 D ZMV + WS;MX 310 400V Drukgeregeld;2058;1837;1663;1473;1263;1023;1740;1763;1288;933;645;3670;3222;2739;2209;1617;3480;3525;2575;1865;1290;400 V;Ja;Nee;Nee;Overig;;;;;660000341;;441006535;441007535;304000535;304010535;304002535;350053500;440305335;440305340;440305345;353000535;353001535;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD/CSY/DAK/MX%2BVDX/MX_Zehnder.png;https://www.zehnder.nl/ventilatie-units/mechanische-ventilatie/dakventilatoren/zehnder-mx-zmv
476600231;08717573020190;MX 310 ZMV + WS;MX 310 230V Drukgeregeld;1978;1837;1663;1473;1263;1023;1740;1763;1288;933;645;3670;3222;2739;2209;1617;3480;3525;2575;1865;1290;230 V;Ja;Nee;Nee;Overig;;;;;660000341;;441006535;441007535;304000535;304010535;304002535;350053500;440305335;440305340;440305345;353000535;353001535;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD/CSY/DAK/MX%2BVDX/MX_Zehnder.png;https://www.zehnder.nl/ventilatie-units/mechanische-ventilatie/dakventilatoren/zehnder-mx-zmv
476600235;08717573020206;MX 320 D ZMV + WS;MX 320 400V Drukgeregeld;2661;3670;3222;2739;2209;1617;2000;1900;1350;1000;650;5356;5084;4796;4491;4165;3100;2630;1900;1100;700;400 V;Ja;Nee;Nee;Overig;;;;;660000341;;441006535;441007535;304000535;304010535;304002535;350053500;440305335;440305340;440305345;353000535;353001535;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD/CSY/DAK/MX%2BVDX/MX_Zehnder.png;https://www.zehnder.nl/ventilatie-units/mechanische-ventilatie/dakventilatoren/zehnder-mx-zmv
476600236;08717573020213;MX 320 ZMV + WS;MX 320 230V Drukgeregeld;2562;3670;3222;2739;2209;1617;2000;1900;1350;1000;650;5356;5084;4796;4491;4165;3100;2630;1900;1100;700;230 V;Ja;Nee;Nee;Overig;;;;;660000341;;441006535;441007535;304000535;304010535;304002535;350053500;440305335;440305340;440305345;353000535;353001535;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD/CSY/DAK/MX%2BVDX/MX_Zehnder.png;https://www.zehnder.nl/ventilatie-units/mechanische-ventilatie/dakventilatoren/zehnder-mx-zmv
476600310;08717573873413;VDX 110 + WS 230V;VDX 110 230V;953;300;300;300;300;300;300;300;300;300;300;1837;1663;1473;1263;1023;1400;1200;1000;600;0;230 V;Nee;Nee;Ja;Overig;;;;;;;441006330;441007330;304000330;304010330;304002330;350033000;440303320;440303325;;;;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD/CSY/DAK/MX%2BVDX/VDX_Zehnder.png;https://www.zehnder.nl/ventilatie-units/mechanische-ventilatie/dakventilatoren/zehnder-vdx
476600311;08717573873420;VDX 110 D + WS 400V;VDX 110 400V;1026;300;300;300;300;300;300;300;300;300;300;1837;1663;1473;1263;1023;1400;1200;1000;600;0;400 V;Nee;Nee;Ja;Overig;;;;;;;441006330;441007330;304000330;304010330;304002330;350033000;440303320;440303325;;;;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD/CSY/DAK/MX%2BVDX/VDX_Zehnder.png;https://www.zehnder.nl/ventilatie-units/mechanische-ventilatie/dakventilatoren/zehnder-vdx
476600320;08717573873437;VDX 210 + WS 230V;VDX 210 230V;1170;1837;1663;1473;1263;1023;1400;1200;1000;600;300;3464;3224;2969;2696;2402;2350;1950;1500;1000;0;230 V;Nee;Nee;Ja;Overig;;;;;;;441006450;441007450;304000450;304010450;304002450;350045000;440304525;440304531;440304535;;;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD/CSY/DAK/MX%2BVDX/VDX_Zehnder.png;https://www.zehnder.nl/ventilatie-units/mechanische-ventilatie/dakventilatoren/zehnder-vdx
476600321;08717573873444;VDX 210 D + WS 400V;VDX 210 400V;1253;1837;1663;1473;1263;1023;1400;1200;1000;600;300;3464;3224;2969;2696;2402;2350;1950;1500;1000;0;400 V;Nee;Nee;Ja;Overig;;;;;;;441006450;441007450;304000450;304010450;304002450;350045000;440304525;440304531;440304535;;;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD/CSY/DAK/MX%2BVDX/VDX_Zehnder.png;https://www.zehnder.nl/ventilatie-units/mechanische-ventilatie/dakventilatoren/zehnder-vdx
476600330;08717573873451;VDX 310 + WS 230V;VDX 310 230V;1424;1837;1663;1473;1263;1023;1740;1763;1288;933;645;3670;3222;2739;2209;1617;3480;3525;2575;1865;1290;230 V;Nee;Nee;Ja;Overig;;;;;;;441006535;441007535;304000535;304010535;304002535;350053500;440305335;440305340;440305345;;;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD/CSY/DAK/MX%2BVDX/VDX_Zehnder.png;https://www.zehnder.nl/ventilatie-units/mechanische-ventilatie/dakventilatoren/zehnder-vdx
476600331;08717573873468;VDX 310 D + WS 400V;VDX 310 400V;1506;1837;1663;1473;1263;1023;1740;1763;1288;933;645;3670;3222;2739;2209;1617;3480;3525;2575;1865;1290;400 V;Nee;Nee;Ja;Overig;;;;;;;441006535;441007535;304000535;304010535;304002535;350053500;440305335;440305340;440305345;;;https://zehnder.compano.com/Data/Environments/000001/Attachment/Bijlage/PRD/CSY/DAK/MX%2BVDX/VDX_Zehnder.png;https://www.zehnder.nl/ventilatie-units/mechanische-ventilatie/dakventilatoren/zehnder-vdx
